# TEST CONFIGURATION BEGIN
# FileStream(filename='kafka1.csv', target_idx=-1, n_targets=1, cat_features=None)
# [M0] HoeffdingTreeClassifier(binary_split=False, grace_period=200, leaf_prediction='nba', max_byte_size=33554432, memory_estimate_period=1000000, nb_threshold=0, no_preprune=False, nominal_attributes=None, remove_poor_atts=False, split_confidence=1e-07, split_criterion='info_gain', stop_mem_management=False, tie_threshold=0.05)
# EvaluatePrequential(batch_size=1, data_points_for_classification=False, max_samples=10000000, max_time=inf, metrics=['accuracy', 'kappa'], n_wait=200, output_file='intrusion.csv', pretrain_size=10, restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_acc_[M0],current_acc_[M0],mean_kappa_[M0],current_kappa_[M0]
199,0.842105,0.842105,0.361702,0.361702
399,0.858974,0.875000,0.435497,0.504950
599,0.872881,0.900000,0.490689,0.598716
799,0.882278,0.910000,0.544157,0.681979
999,0.881818,0.880000,0.538941,0.517588
