# TEST CONFIGURATION BEGIN
# FileStream(filename='kafka2.csv', target_idx=-1, n_targets=1, cat_features=None)
# [M0] HoeffdingTreeClassifier(binary_split=False, grace_period=200, leaf_prediction='nba', max_byte_size=33554432, memory_estimate_period=1000000, nb_threshold=0, no_preprune=False, nominal_attributes=None, remove_poor_atts=False, split_confidence=1e-07, split_criterion='info_gain', stop_mem_management=False, tie_threshold=0.05)
# EvaluatePrequential(batch_size=1, data_points_for_classification=False, max_samples=10000000, max_time=inf, metrics=['accuracy', 'kappa'], n_wait=200, output_file='iot.csv', pretrain_size=10, restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_acc_[M0],current_acc_[M0],mean_kappa_[M0],current_kappa_[M0]
199,0.915789,0.915789,0.852542,0.852542
399,0.941026,0.965000,0.898375,0.940582
599,0.940678,0.940000,0.897547,0.895593
799,0.925316,0.880000,0.870954,0.792666
999,0.928283,0.940000,0.877811,0.902041
